Versions,IN QA,IN REVIEW,In Review,To Do,In Progress,Done,To Do,In Progress,Done,To Do,In Progress,Done
1.16,0,0,0,1,0,2,1,0,1,0,0,2
1.17,0,0,0,0,0,0,0,0,0,0,0,2
1.17.2,0,0,0,0,0,1,0,0,0,0,0,0
1.17.5,0,0,0,0,0,0,0,0,4,0,0,0
1.18,0,0,0,0,0,5,8,0,6,0,0,1
1.19,0,0,0,0,0,1,0,0,0,0,0,1
1.2,0,0,0,5,0,8,0,0,4,0,0,0
1.20.0,0,0,0,0,0,0,0,0,0,0,0,1
1.22,1,0,0,0,0,0,0,0,1,0,0,0
1.22.0,0,0,0,0,0,0,1,0,0,0,0,0
1.23,0,0,0,1,0,0,0,0,0,0,0,0
1.23.4,0,0,0,0,0,1,0,0,0,0,0,0
1.24.2,0,0,0,2,0,0,2,0,1,0,0,0
1.24.x,0,0,0,0,0,0,0,0,2,0,0,0
1.25.0-rc1,0,0,0,0,0,1,0,0,1,0,0,0
1.25.3,0,0,0,0,0,1,0,0,0,0,0,0
1.25.4,0,0,0,0,0,2,0,0,0,0,0,1
1.26.0,0,0,0,0,0,2,1,0,1,0,0,0
1.26.1,0,0,0,0,0,5,0,0,0,0,0,0
1.27,0,0,0,0,0,2,0,0,2,0,0,0
1.27.0,0,0,0,0,0,1,0,0,0,0,0,0
V1.26.1,0,0,0,0,0,0,0,0,2,0,0,0
v1.0,0,0,0,0,0,0,0,0,0,0,0,1
v1.12,0,0,0,1,0,4,1,0,3,0,0,4
v1.13,0,0,0,0,0,29,4,0,10,3,0,20
v1.14,0,0,0,0,0,46,6,0,26,1,0,24
v1.15,0,0,0,5,0,42,4,0,23,5,0,22
v1.16,0,0,0,1,0,22,4,0,13,1,0,18
v1.17,0,0,0,13,0,37,16,0,54,3,0,61
v1.17.5,0,0,0,0,0,0,2,0,0,0,0,0
v1.18,0,0,0,8,0,43,15,0,29,1,0,69
v1.19,0,0,0,8,0,20,7,0,24,1,0,29
v1.20,0,0,0,10,0,15,6,0,7,1,0,34
v1.20.1,0,0,1,0,0,0,1,0,0,0,0,1
v1.21,0,0,0,1,0,21,6,0,20,0,0,5
v1.22,0,0,2,8,0,6,8,0,23,1,0,11
v1.23,0,0,1,10,0,17,8,0,5,2,0,6
v1.24,0,0,0,6,0,2,14,0,15,0,0,3
v1.24.2,0,0,0,1,0,0,1,0,2,0,0,0
v1.25,1,2,0,12,0,10,4,0,13,2,0,20
v1.26,0,0,0,6,0,7,2,0,9,2,0,10
v1.26.1,0,0,0,0,0,0,0,0,1,0,0,0
v1.27,0,0,0,2,0,2,5,0,1,2,0,2
v1.27.0,0,0,0,0,0,5,1,0,12,0,0,1
v1.28,0,1,0,10,1,14,6,0,3,2,0,2
v1.29,0,0,0,1,0,0,1,0,0,0,0,0
v1.30,0,0,0,1,0,0,2,2,0,1,0,1
v1.8,0,0,0,0,0,0,0,0,0,0,0,1
v1.9,0,0,0,0,0,0,0,0,1,0,0,0
